"time"	"Av"	"Aa"	"Ai"	"Aw"	"Rv"	"Rm"	"Rw"	"x"	"nv"	"yv"	"na"	"ya"	"ni"	"yi"
"259"	258	0.0246980180005263	89.911472645397	8.10353431023896	1.96029502636362	-9.17171881104629e-15	7.77129211330301	2.22870788669699	2.83140451305318e-81	33071.0499146428	1.78498336627331e-82	33071.049914952	5.68171825851539	3307.10499137856	0.5681718258315
"260"	259	0.0246980428925591	89.9114080433764	8.1035986381517	1.96029527557948	-8.61233799536191e-15	7.76352470554087	2.23647529445913	3.62392733417353e-82	33071.020851805	2.28465181767971e-83	33071.0208521142	5.68171837761901	3307.10208509479	0.568171837741862
"261"	260	0.0246980676003267	89.9113435172242	8.10366290279583	1.96029551237981	-8.6398644987376e-15	7.75576506130408	2.24423493869592	-9.17670172851763e-82	33070.9918234968	-5.7852174139619e-83	33070.9918238059	5.68171849564426	3307.09918226396	0.568171849544388
"262"	261	0.0246980921319413	89.9112790663026	8.1037271041835	1.96029573738211	-9.2007092633112e-15	7.74801317283301	2.25198682716699	3.40925546407359e-82	33070.9628294112	2.14926131496681e-83	33070.9628297204	5.68171861263995	3307.09628285541	0.568171861243957
"263"	262	0.0246981164951131	89.9112146900025	8.1037912423294	1.96029595117317	-9.53457341179631e-15	7.74026903237575	2.25973096762425	7.95238383525768e-83	33070.9338692556	5.01347018750903e-84	33070.9338695647	5.68171872865244	3307.09338683984	0.568171872845206
"264"	263	0.0246981406971696	89.9111503877418	8.1038553172506	1.96029615431058	-9.27499096051414e-15	7.73253263218817	2.26746736781184	-1.27608113959852e-82	33070.9049427499	-8.04471888238989e-84	33070.9049430591	5.6817188437258	3307.09049418928	0.568171884352542
"265"	264	0.0246981647450751	89.9110861589644	8.10391932896647	1.96029634732421	-8.62323628094242e-15	7.72480396453386	2.27519603546614	3.97560650941525e-83	33070.8760496272	2.5062834412404e-84	33070.8760499363	5.68171895790192	3307.087604877	0.568171895770154
"266"	265	0.0246981886454486	89.9110220031386	8.10398327749852	1.96029653071758	-8.08032754645617e-15	7.71708302168416	2.28291697831584	1.46993154661312e-83	33070.8471896318	9.26697026000241e-85	33070.847189941	5.6817190712206	3307.08471887747	0.568171907102021
"267"	266	0.0246982124045808	89.9109579197561	8.10404716287033	1.96029670496915	-7.88775867163615e-15	7.70936979591813	2.29063020408187	-1.74678047851217e-83	33070.8183625199	-1.10121003772048e-84	33070.8183628291	5.68171918371967	3307.08183616627	0.568171918351929
"268"	267	0.0246982360284508	89.9108939083307	8.1041109851074	1.96029687053361	-7.73340451447373e-15	7.70166427952254	2.29833572047746	4.44010972302215e-84	33070.789568058	2.79908665561558e-85	33070.7895683672	5.68171929543509	3307.07895672009	0.568171929523471
"269"	268	0.0246982595227411	89.9108299683973	8.10417474423709	1.96029702784301	-7.55188059754224e-15	7.69396646479186	2.30603353520814	2.48939496338956e-84	33070.7608060231	1.56940039789451e-85	33070.7608063323	5.68171940640103	3307.07608051659	0.568171940620064
"270"	269	0.024698282892853	89.9107660995108	8.10423844028852	1.96029717730794	-7.89933409454163e-15	7.6862763440283	2.3137236559717	-2.35514984753035e-84	33070.7320762017	-1.48473627332928e-85	33070.7320765108	5.68171951664994	3307.07320753445	0.568171951644956
"271"	270	0.0246983061439199	89.9107023012452	8.10430207329245	1.96029731931855	-8.29985058719331e-15	7.67859390954172	2.32140609045829	4.65219186419679e-85	33070.7033783895	2.93274034700965e-86	33070.7033786987	5.68171962621273	3307.07033775323	0.568171962601234
"272"	271	0.0246983292808212	89.9106385731925	8.10436564328123	1.96029745424559	-7.8166962546368e-15	7.67091915364968	2.32908084635032	3.99253317138457e-85	33070.6747123911	2.5170255672411e-86	33070.6747127003	5.68171973511871	3307.06747115339	0.568171973491832
"273"	272	0.0246983523081944	89.9105749149619	8.1044291502887	1.96029758244138	-7.16512907316504e-15	7.66325206867744	2.33674793132256	-3.12785817042452e-85	33070.6460780194	-1.97186161927726e-86	33070.6460783286	5.68171984339575	3307.06460771622	0.568171984319537
"274"	273	0.0246983752304475	89.9105113261789	8.1044925943501	1.96029770424071	-7.0474033494534e-15	7.65559264695791	2.34440735304209	4.36786521133259e-86	33070.6174750952	2.75343345105975e-87	33070.6174754043	5.68171995107038	3307.0617474238	0.568171995086999
"275"	274	0.0246983980517705	89.9104478064846	8.10455597550204	1.96029781996171	-7.38369767209723e-15	7.64794088083166	2.35205911916834	6.13942175741846e-86	33070.5889034467	3.8705429153108e-87	33070.5889037558	5.68172005816776	3307.05889025895	0.568172005796738
"276"	275	0.0246984207761458	89.9103843555349	8.10461929378238	1.96029792990671	-7.75858296044643e-15	7.64029676264693	2.35970323735307	-4.06828242289174e-86	33070.5603629093	-2.56477029793908e-87	33070.5603632185	5.68172016471185	3307.05603620522	0.568172016451147
"277"	276	0.024698443407359	89.9103209729996	8.1046825492302	1.96029803436299	-8.04025347409015e-15	7.6326602847596	2.3673397152404	3.17451835081629e-87	33070.5318533255	2.00128535226114e-88	33070.5318536346	5.68172027072537	3307.05318524683	0.568172027052499
"278"	277	0.0246984659490082	89.9102576585619	8.1047457418857	1.96029813360355	-8.32260269721318e-15	7.62503143953319	2.37496856046681	9.2006609937305e-87	33070.5033745437	5.80034065035918e-88	33070.5033748529	5.68172037622999	3307.05033736865	0.56817203760296
"279"	278	0.0246984884045138	89.9101944119176	8.1048088717902	1.9602982278878	-8.86497958481148e-15	7.61741021933886	2.38258978066114	-5.20775334225819e-87	33070.4749264189	-3.28309167214007e-88	33070.474926728	5.68172048124622	3307.04749255617	0.568172048104584
"280"	279	0.024698510777127	89.9101312327747	8.10487193898601	1.96029831746226	-8.77732931927625e-15	7.60979661655538	2.39020338344462	5.33321252508435e-89	33070.4465088116	3.36152052378426e-90	33070.4465091208	5.68172058579363	3307.04465079545	0.568172058559325
"281"	280	0.0246985330699385	89.9100681208526	8.10493494351644	1.96029840256118	-8.23504557079894e-15	7.60219062356915	2.39780937643085	1.34559780733136e-87	33070.4181215882	8.48298810319491e-89	33070.4181218974	5.68172068989077	3307.04181207311	0.568172068969039
"282"	281	0.0246985552858861	89.9100050758814	8.1049978854257	1.96029848340719	-8.10391553090953e-15	7.59459223277418	2.40540776722582	-6.53849977870157e-88	33070.3897646201	-4.12200748847529e-89	33070.3897649293	5.68172079355531	3307.0389763763	0.568172079335492
"283"	282	0.0246985774277627	89.9099420976017	8.10506076475888	1.96029856021179	-8.45378219065849e-15	7.58700143657207	2.41299856342793	-4.3403359503899e-89	33070.3614377838	-2.73641783319379e-90	33070.361438093	5.68172089680401	3307.03614369266	0.568172089660362
"284"	283	0.0246985994982233	89.909879185764	8.1051235815619	1.96029863317602	-8.31385547000317e-15	7.57941822737203	2.42058177262797	1.92835871121846e-88	33070.3331409605	1.21568534247947e-89	33070.3331412697	5.68172099965283	3307.03331401033	0.568172099945245
"285"	284	0.0246986214997917	89.909816340128	8.10518633588145	1.96029870249089	-8.26707601565099e-15	7.57184259759085	2.42815740240915	-8.02944500801188e-89	33070.304874036	-5.06190752891875e-90	33070.3048743452	5.68172110211693	3307.03048731788	0.568172110191654
"286"	285	0.0246986434348675	89.9097535604624	8.10524902776497	1.96029876833791	-8.81566013690076e-15	7.5642745396529	2.4357254603471	-1.2594930283427e-89	33070.2766369003	-7.94044923542739e-91	33070.2766372095	5.68172120421071	3307.02766360432	0.568172120401033
"287"	286	0.0246986653057319	89.9096908465442	8.1053116572606	1.96029883088958	-8.8032196596867e-15	7.55671404599012	2.44328595400988	2.68451359066563e-89	33070.2484294478	1.69238151964192e-90	33070.2484297569	5.6817213059479	3307.02484285906	0.568172130574751
"288"	287	0.0246986871145534	89.9096281981586	8.10537422441713	1.96029889030981	-8.34536485279838e-15	7.54916110904202	2.45083889095798	1.01567783046122e-89	33070.2202515763	6.4033247095824e-91	33070.2202518855	5.68172140734149	3307.02202507191	0.56817214071411
"289"	288	0.0246987088633942	89.9095656150984	8.10543672928398	1.96029894675436	-7.95995377493202e-15	7.54161572125565	2.45838427874435	6.83328399397028e-89	33070.1921031876	4.3079305585622e-90	33070.1921034968	5.68172150840388	3307.01921023305	0.568172150820349
"290"	289	0.0246987305542148	89.9095030971635	8.10549917191116	1.96029900037127	-7.7012983385312e-15	7.53407787508563	2.46592212491437	-4.00178714806295e-89	33070.1639841871	-2.5228055472667e-90	33070.1639844963	5.6817216091468	3307.016398333	0.568172160894641
"291"	290	0.0246987521888791	89.9094406441608	8.10556155234925	1.96029905130119	-8.35656764057603e-15	7.52654756299412	2.47345243700588	7.5352218443588e-89	33070.1358944833	4.75042074020885e-90	33070.1358947925	5.68172170958152	3307.01358936261	0.568172170938113
