"time"	"n"	"x"	"y"
"86"	8.5	0.0921336028530078	0.0188844379971112	0.888981959149881
"87"	8.6	0.0920628544818594	0.0188401882393997	0.889096957278741
"88"	8.7	0.0919967891304033	0.0187988487030994	0.889204362166498
"89"	8.8	0.0919350955335528	0.0187602285278839	0.889304675938564
"90"	8.9	0.0918774832932541	0.0187241492962605	0.889398367410486
"91"	9	0.091823681454835	0.0186904442326906	0.889485874312475
"92"	9.1	0.0917734371838963	0.0186589574528141	0.88956760536329
"93"	9.2	0.0917265145361818	0.0186295432598474	0.889643942203971
"94"	9.3	0.0916826933134916	0.0186020654853695	0.889715241201139
"95"	9.4	0.0916417679992736	0.0185763968718459	0.889781835128881
"96"	9.5	0.0916035467680461	0.0185524184943772	0.889844034737577
